date,holiday,blackfriday,isbf
2012-01-01,1,0,0
2012-01-02,1,0,0
2012-01-16,1,0,0
2012-02-14,1,0,0
2012-02-20,1,0,0
2012-03-17,1,0,0
2012-04-08,1,0,0
2012-04-17,1,0,0
2012-05-05,1,0,0
2012-05-13,1,0,0
2012-05-28,1,0,0
2012-06-17,1,0,0
2012-07-04,1,0,0
2012-09-03,1,0,0
2012-10-08,1,0,0
2012-10-31,1,0,0
2012-11-06,1,0,0
2012-11-11,1,0,0
2012-11-22,1,0,0
2012-11-23,0,1,1
2012-11-23,1,0,0
2012-11-24,0,2,1
2012-11-25,0,3,1
2012-11-26,0,4,1
2012-12-24,1,0,0
2012-12-25,1,0,0
2012-12-31,1,0,0
2013-01-01,1,0,0
2013-01-21,1,0,0
2013-02-14,1,0,0
2013-02-18,1,0,0
2013-03-17,1,0,0
2013-03-31,1,0,0
2013-04-15,1,0,0
2013-05-05,1,0,0
2013-05-12,1,0,0
2013-05-27,1,0,0
2013-06-16,1,0,0
2013-07-04,1,0,0
2013-09-02,1,0,0
2013-10-14,1,0,0
2013-10-31,1,0,0
2013-11-11,1,0,0
2013-11-28,1,0,0
2013-11-29,1,0,0
2013-11-29,0,1,1
2013-11-30,0,2,1
2013-12-01,0,3,1
2013-12-02,0,4,1
2013-12-24,1,0,0
2013-12-25,1,0,0
2013-12-31,1,0,0
2014-01-01,1,0,0
2014-01-20,1,0,0
2014-02-14,1,0,0
2014-02-17,1,0,0
2014-03-17,1,0,0
2014-04-15,1,0,0
2014-04-20,1,0,0
2014-05-05,1,0,0
2014-05-11,1,0,0
2014-05-26,1,0,0
2014-06-15,1,0,0
2014-07-04,1,0,0
2014-09-01,1,0,0
2014-10-13,1,0,0
2014-10-31,1,0,0
2014-11-11,1,0,0
2014-11-27,1,0,0
2014-11-28,1,0,0
2014-11-28,0,1,1
2014-11-29,0,2,1
2014-11-30,0,3,1
2014-12-01,0,4,1
2014-12-24,1,0,0
2014-12-25,1,0,0
2014-12-31,1,0,0
